Code point,Rank 1,Rank 2,Unicode name,C47 usage,Glyph,Glyph,Replacement code point,Replacement,,Comments
U+2494,303,306,NUMBER THIRTEEN FULL STOP,Superscript s,⒔,⒔,U+0053,S,,
U+2495,316,321,NUMBER FOURTEEN FULL STOP,Superscript t,⒕,⒕,U+0054,T,,
U+2496,330,333,NUMBER FIFTEEN FULL STOP,Superscript u,⒖,⒖,U+0055,U,,
U+2497,356,359,NUMBER SIXTEEN FULL STOP,Superscript v,⒗,⒗,U+0056,V,,
U+2498,364,367,NUMBER SEVENTEEN FULL STOP,Superscript w,⒘,⒘,U+0057,W,,
U+2499,373,376,NUMBER EIGHTEEN FULL STOP,Superscript x,⒙,⒙,U+0058,X,,
U+249a,384,387,NUMBER NINETEEN FULL STOP,Superscript y,⒚,⒚,U+0059,Y,,
U+249b,399,402,NUMBER TWENTY FULL STOP,Superscript z,⒛,⒛,U+005a,Z,,
U+249c,66,71,PARENTHESIZED LATIN SMALL LETTER A,Subscript a,⒜,⒜,U+0041,A,,
U+249d,92,97,PARENTHESIZED LATIN SMALL LETTER B,Subscript b,⒝,⒝,U+0042,B,,
U+249e,98,103,PARENTHESIZED LATIN SMALL LETTER C,Subscript c,⒞,⒞,U+0043,C,,
U+249f,113,118,PARENTHESIZED LATIN SMALL LETTER D,Subscript d,⒟,⒟,U+0044,D,,
U+24a0,126,131,PARENTHESIZED LATIN SMALL LETTER E,Subscript e,⒠,⒠,U+0045,E,,
U+24a1,152,158,PARENTHESIZED LATIN SMALL LETTER F,Subscript f,⒡,⒡,U+0046,F,,
U+24a2,161,167,PARENTHESIZED LATIN SMALL LETTER G,Subscript g,⒢,⒢,U+0047,G,,
U+24a3,171,178,PARENTHESIZED LATIN SMALL LETTER H,Subscript h,⒣,⒣,U+0048,H,,
U+24a4,181,186,PARENTHESIZED LATIN SMALL LETTER I,Subscript i,⒤,⒤,U+0049,I,,
U+24a5,205,210,PARENTHESIZED LATIN SMALL LETTER J,Subscript j,⒥,⒥,U+004a,J,,
U+24a6,213,218,PARENTHESIZED LATIN SMALL LETTER K,Subscript k,⒦,⒦,U+004b,K,,
U+24a7,220,225,PARENTHESIZED LATIN SMALL LETTER L,Subscript l,⒧,⒧,U+004c,L,,
U+24a8,233,238,PARENTHESIZED LATIN SMALL LETTER M,Subscript m,⒨,⒨,U+004d,M,,
U+24a9,239,244,PARENTHESIZED LATIN SMALL LETTER N,Subscript n,⒩,⒩,U+004e,N,,
U+24aa,253,259,PARENTHESIZED LATIN SMALL LETTER O,Subscript o,⒪,⒪,U+004f,O,,
U+24ab,278,283,PARENTHESIZED LATIN SMALL LETTER P,Subscript p,⒫,⒫,U+0050,P,,
U+24ac,284,289,PARENTHESIZED LATIN SMALL LETTER Q,Subscript q,⒬,⒬,U+0051,Q,,
U+24ad,291,297,PARENTHESIZED LATIN SMALL LETTER R,Subscript r,⒭,⒭,U+0052,R,,
U+24ae,303,308,PARENTHESIZED LATIN SMALL LETTER S,Subscript s,⒮,⒮,U+0053,S,,
U+24af,316,323,PARENTHESIZED LATIN SMALL LETTER T,Subscript t,⒯,⒯,U+0054,T,,
U+24b0,330,335,PARENTHESIZED LATIN SMALL LETTER U,Subscript u,⒰,⒰,U+0055,U,,
U+24b1,356,361,PARENTHESIZED LATIN SMALL LETTER V,Subscript v,⒱,⒱,U+0056,V,,
U+24b2,364,369,PARENTHESIZED LATIN SMALL LETTER W,Subscript w,⒲,⒲,U+0057,W,,
U+24b3,373,379,PARENTHESIZED LATIN SMALL LETTER X,Subscript x,⒳,⒳,U+0058,X,,
U+24b4,384,389,PARENTHESIZED LATIN SMALL LETTER Y,Subscript y,⒴,⒴,U+0059,Y,,
U+24b5,399,404,PARENTHESIZED LATIN SMALL LETTER Z,Subscript z,⒵,⒵,U+005a,Z,,
U+24b6,66,68,CIRCLED LATIN CAPITAL LETTER A,Superscript A,Ⓐ,Ⓐ,U+0041,A,,
U+24b7,92,94,CIRCLED LATIN CAPITAL LETTER B,Superscript B,Ⓑ,Ⓑ,U+0042,B,,
U+24b8,98,100,CIRCLED LATIN CAPITAL LETTER C,Superscript C,Ⓒ,Ⓒ,U+0043,C,,
U+24b9,113,115,CIRCLED LATIN CAPITAL LETTER D,Superscript D,Ⓓ,Ⓓ,U+0044,D,,
U+24ba,126,128,CIRCLED LATIN CAPITAL LETTER E,Superscript E,Ⓔ,Ⓔ,U+0045,E,,
U+24bb,152,154,CIRCLED LATIN CAPITAL LETTER F,Superscript F,Ⓕ,Ⓕ,U+0046,F,,
U+24bc,161,163,CIRCLED LATIN CAPITAL LETTER G,Superscript G,Ⓖ,Ⓖ,U+0047,G,,
U+24bd,171,174,CIRCLED LATIN CAPITAL LETTER H,Superscript H,Ⓗ,Ⓗ,U+0048,H,,
U+24be,181,183,CIRCLED LATIN CAPITAL LETTER I,Superscript I,Ⓘ,Ⓘ,U+0049,I,,
U+24bf,205,207,CIRCLED LATIN CAPITAL LETTER J,Superscript J,Ⓙ,Ⓙ,U+004a,J,,
U+24c0,213,215,CIRCLED LATIN CAPITAL LETTER K,Superscript K,Ⓚ,Ⓚ,U+004b,K,,
U+24c1,220,222,CIRCLED LATIN CAPITAL LETTER L,Superscript L,Ⓛ,Ⓛ,U+004c,L,,
U+24c2,233,235,CIRCLED LATIN CAPITAL LETTER M,Superscript M,Ⓜ,Ⓜ,U+004d,M,,
U+24c3,239,241,CIRCLED LATIN CAPITAL LETTER N,Superscript N,Ⓝ,Ⓝ,U+004e,N,,
U+24c4,253,255,CIRCLED LATIN CAPITAL LETTER O,Superscript O,Ⓞ,Ⓞ,U+004f,O,,
U+24c5,278,280,CIRCLED LATIN CAPITAL LETTER P,Superscript P,Ⓟ,Ⓟ,U+0050,P,,
U+24c6,284,286,CIRCLED LATIN CAPITAL LETTER Q,Superscript Q,Ⓠ,Ⓠ,U+0051,Q,,
U+24c7,291,293,CIRCLED LATIN CAPITAL LETTER R,Superscript R,Ⓡ,Ⓡ,U+0052,R,,
U+24c8,303,305,CIRCLED LATIN CAPITAL LETTER S,Superscript S,Ⓢ,Ⓢ,U+0053,S,,
U+24c9,316,318,CIRCLED LATIN CAPITAL LETTER T,Superscript T,Ⓣ,Ⓣ,U+0054,T,,
U+24ca,330,332,CIRCLED LATIN CAPITAL LETTER U,Superscript U,Ⓤ,Ⓤ,U+0055,U,,
U+24cb,356,358,CIRCLED LATIN CAPITAL LETTER V,Superscript V,Ⓥ,Ⓥ,U+0056,V,,
U+24cc,364,366,CIRCLED LATIN CAPITAL LETTER W,Superscript W,Ⓦ,Ⓦ,U+0057,W,,
U+24cd,373,375,CIRCLED LATIN CAPITAL LETTER X,Superscript X,Ⓧ,Ⓧ,U+0058,X,,
U+24ce,384,386,CIRCLED LATIN CAPITAL LETTER Y,Superscript Y,Ⓨ,Ⓨ,U+0059,Y,,
U+24cf,399,401,CIRCLED LATIN CAPITAL LETTER Z,Superscript Z,Ⓩ,Ⓩ,U+005a,Z,,
U+24d0,66,70,CIRCLED LATIN SMALL LETTER A,Subscript A,ⓐ,ⓐ,U+0041,A,,
U+24d1,92,96,CIRCLED LATIN SMALL LETTER B,Subscript B,ⓑ,ⓑ,U+0042,B,,
U+24d2,98,102,CIRCLED LATIN SMALL LETTER C,Subscript C,ⓒ,ⓒ,U+0043,C,,
U+24d3,113,117,CIRCLED LATIN SMALL LETTER D,Subscript D,ⓓ,ⓓ,U+0044,D,,
U+24d4,126,130,CIRCLED LATIN SMALL LETTER E,Subscript E,ⓔ,ⓔ,U+0045,E,,
U+24d5,152,157,CIRCLED LATIN SMALL LETTER F,Subscript F,ⓕ,ⓕ,U+0046,F,,
U+24d6,161,166,CIRCLED LATIN SMALL LETTER G,Subscript G,ⓖ,ⓖ,U+0047,G,,
U+24d7,171,177,CIRCLED LATIN SMALL LETTER H,Subscript H,ⓗ,ⓗ,U+0048,H,,
U+24d8,181,185,CIRCLED LATIN SMALL LETTER I,Subscript I,ⓘ,ⓘ,U+0049,I,,
U+24d9,205,209,CIRCLED LATIN SMALL LETTER J,Subscript J,ⓙ,ⓙ,U+004a,J,,
U+24da,213,217,CIRCLED LATIN SMALL LETTER K,Subscript K,ⓚ,ⓚ,U+004b,K,,
U+24db,220,224,CIRCLED LATIN SMALL LETTER L,Subscript L,ⓛ,ⓛ,U+004c,L,,
U+24dc,233,237,CIRCLED LATIN SMALL LETTER M,Subscript M,ⓜ,ⓜ,U+004d,M,,
U+24dd,239,243,CIRCLED LATIN SMALL LETTER N,Subscript N,ⓝ,ⓝ,U+004e,N,,
U+24de,253,258,CIRCLED LATIN SMALL LETTER O,Subscript O,ⓞ,ⓞ,U+004f,O,,
U+24df,278,282,CIRCLED LATIN SMALL LETTER P,Subscript P,ⓟ,ⓟ,U+0050,P,,
U+24e0,284,288,CIRCLED LATIN SMALL LETTER Q,Subscript Q,ⓠ,ⓠ,U+0051,Q,,
U+24e1,291,296,CIRCLED LATIN SMALL LETTER R,Subscript R,ⓡ,ⓡ,U+0052,R,,
U+24e2,303,307,CIRCLED LATIN SMALL LETTER S,Subscript S,ⓢ,ⓢ,U+0053,S,,
U+24e3,316,322,CIRCLED LATIN SMALL LETTER T,Subscript T,ⓣ,ⓣ,U+0054,T,,
U+24e4,330,334,CIRCLED LATIN SMALL LETTER U,Subscript U,ⓤ,ⓤ,U+0055,U,,
U+24e5,356,360,CIRCLED LATIN SMALL LETTER V,Subscript V,ⓥ,ⓥ,U+0056,V,,
U+24e6,364,368,CIRCLED LATIN SMALL LETTER W,Subscript W,ⓦ,ⓦ,U+0057,W,,
U+24e7,373,378,CIRCLED LATIN SMALL LETTER X,Subscript X,ⓧ,ⓧ,U+0058,X,,
U+24e8,384,388,CIRCLED LATIN SMALL LETTER Y,Subscript Y,ⓨ,ⓨ,U+0059,Y,,
U+24e9,399,403,CIRCLED LATIN SMALL LETTER Z,Subscript Z,ⓩ,ⓩ,U+005a,Z,,
U+24EA,11,17,CIRCLED DIGIT ZERO ,Base 0,⓪,⓪,U+0030,0,,
U+25a2,640,652,WHITE SQUARE WITH ROUNDED CORNERS,Box,▢,▢,U+2399,⎙,,
U+25a6,640,653,SQUARE WITH ORTHOGONAL CROSSHATCH FILL,Filled box,▦,▦,U+2399,⎙,,
U+267A,640,650,RECYCLING SYMBOL FOR GENERIC MATERIALS,Cyclic,♺,♺,U+2399,⎙,,
U+267B,98,112,BLACK UNIVERSAL RECYCLING SYMBOL,Caps lock,♻,♻,U+0043,C,,
U+267e,239,252,PERMANENT PAPER SIGN,Num lock,♾,♾,U+004e,N,,
U+2713,676,676,CHECK MARK,Check mark,✓,✓,U+2713,✓,,
U+2788,528,530,CIRCLED DIGIT 9,Wide comma,➈,➈,U+002c,",",,
U+2789,531,534,CIRCLED NUMBER 10,Wide period,➉,➉,U+002e,.,,
U+29d6,640,642,WHITE HOURGLASS,Hourglass,⧖,⧖,U+2399,⎙,,
U+29f0,384,398,ERROR BARRED WHITE DIAMOND,yx,⧰,⧰,U+0059,Y,,
U+29f1,152,160,ERROR BARRED BLACK DIAMOND,fg,⧱,⧱,U+0046,F,,
U+2b60,567,569,LEFTWARDS TRIANGLE HEADED ARROW,Left block arrow,⭠,⭠,U+2190,←,,
U+2b61,572,574,UPWARDS TRIANGLE HEADED ARROW,Up block arrow,⭡,⭡,U+2191,↑,,
U+2b62,562,565,RIGHTWARDS TRIANGLE HEADED ARROW,Right block arrow,⭢,⭢,U+2192,→,,
U+2b63,578,580,DOWNWARDS TRIANGLE HEADED ARROW,Down block arrow,⭣,⭣,U+2193,↓,,
U+2c64,459,462,LATIN CAPITAL LETTER R WITH TAIL,Subscript pi,Ɽ,Ɽ,U+03a0,Π,,
U+2c65,459,463,LATIN SMALL LETTER A WITH STROKE,Superscript pi,ⱥ,ⱥ,U+03a0,Π,,
U+2c66,459,464,LATIN SMALL LETTER T WITH STROKE,Superscript pi r,ⱦ,ⱦ,U+03a0,Π,,
U+2c6f,657,657,LATIN CAPITAL LETTER A TURNED,For all,Ɐ,Ɐ,U+2c6f,Ɐ,,
U+ffff,9999,9999,NOTHING,Nothing,,,,,,



,,,,,,,,,,
,,,,,,,,,,




,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
