Code point,Rank 1,Rank 2,Unicode name,C47 usage,Glyph,Glyph,Replacement code point,Replacement,,Comments
U+00bc,18,21,VULGAR FRACTION ONE QUARTER,Fraction 1/4,¼,¼,U+0031,1,,
U+00bd,18,20,VULGAR FRACTION ONE HALF,Fraction 1/2,½,½,U+0031,1,,
U+00bf,538,539,INVERTED QUESTION MARK,Inverted question mark,¿,¿,U+003f,?,,
U+00c0,66,72,LATIN CAPITAL LETTER A WITH GRAVE,A grave,À,À,U+0041,A,,
U+00c1,66,74,LATIN CAPITAL LETTER A WITH ACUTE,A accute,Á,Á,U+0041,A,,
U+00c2,66,76,LATIN CAPITAL LETTER A WITH CIRCUMFLEX,A circumflex,Â,Â,U+0041,A,,
U+00c3,66,78,LATIN CAPITAL LETTER A WITH TILDE,A tilde,Ã,Ã,U+0041,A,,
U+00c4,66,80,LATIN CAPITAL LETTER A WITH DIAERESIS,A diaresis,Ä,Ä,U+0041,A,,
U+00c5,66,82,LATIN CAPITAL LETTER A WITH RING ABOVE,A ring,Å,Å,U+0041,A,,
U+00c6,66,84,LATIN CAPITAL LETTER AE,AE,Æ,Æ,U+0041,A,,
U+00c7,98,104,LATIN CAPITAL LETTER C WITH CEDILLA,C cedilla,Ç,Ç,U+0043,C,,
U+00c8,126,132,LATIN CAPITAL LETTER E WITH GRAVE,E grave,È,È,U+0045,E,,
U+00c9,126,134,LATIN CAPITAL LETTER E WITH ACUTE,E accute,É,É,U+0045,E,,
U+00ca,126,136,LATIN CAPITAL LETTER E WITH CIRCUMFLEX,E circumflex,Ê,Ê,U+0045,E,,
U+00cb,126,138,LATIN CAPITAL LETTER E WITH DIAERESIS,E diaresis,Ë,Ë,U+0045,E,,
U+00cc,181,187,LATIN CAPITAL LETTER I WITH GRAVE,I grave,Ì,Ì,U+0049,I,,
U+00cd,181,189,LATIN CAPITAL LETTER I WITH ACUTE,I accute,Í,Í,U+0049,I,,
U+00ce,181,191,LATIN CAPITAL LETTER I WITH CIRCUMFLEX,I circumflex,Î,Î,U+0049,I,,
U+00cf,181,193,LATIN CAPITAL LETTER I WITH DIAERESIS,I diaresis,Ï,Ï,U+0049,I,,
U+00d0,113,119,LATIN CAPITAL LETTER ETH,ETH,Ð,Ð,U+0044,D,,
U+00d1,239,245,LATIN CAPITAL LETTER N WITH TILDE,N tilde,Ñ,Ñ,U+004E,N,,
U+00d2,253,260,LATIN CAPITAL LETTER O WITH GRAVE,O grave,Ò,Ò,U+004f,O,,
U+00d3,253,262,LATIN CAPITAL LETTER O WITH ACUTE,O accute,Ó,Ó,U+004f,O,,
U+00d4,253,264,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,O circumflex,Ô,Ô,U+004f,O,,
U+00d5,253,266,LATIN CAPITAL LETTER O WITH TILDE,O tilde,Õ,Õ,U+004f,O,,
U+00d6,253,268,LATIN CAPITAL LETTER O WITH DIAERESIS,O diaresis,Ö,Ö,U+004f,O,,
U+00d7,519,519,MULTIPLICATION SIGN,Cross,×,×,U+00d7,×,,
U+00d8,253,270,LATIN CAPITAL LETTER O WITH STROKE,O stroke,Ø,Ø,U+004f,O,,
U+00d9,330,336,LATIN CAPITAL LETTER U WITH GRAVE,U grave,Ù,Ù,U+0055,U,,
U+00da,330,338,LATIN CAPITAL LETTER U WITH ACUTE,U accute,Ú,Ú,U+0055,U,,
U+00db,330,340,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,U circumflex,Û,Û,U+0055,U,,
U+00dc,330,342,LATIN CAPITAL LETTER U WITH DIAERESIS,U diaresis,Ü,Ü,U+0055,U,,
U+00dd,384,390,LATIN CAPITAL LETTER Y WITH ACUTE,Y accute,Ý,Ý,U+0059,Y,,
U+00df,303,315,LATIN SMALL LETTER SHARP S,sz,ß,ß,U+0053,S,,
U+00e0,66,73,LATIN SMALL LETTER A WITH GRAVE,a grave,à,à,U+0041,A,,
U+00e1,66,75,LATIN SMALL LETTER A WITH ACUTE,a accute,á,á,U+0041,A,,
U+00e2,66,77,LATIN SMALL LETTER A WITH CIRCUMFLEX,a circumflex,â,â,U+0041,A,,
U+00e3,66,79,LATIN SMALL LETTER A WITH TILDE,a tilde,ã,ã,U+0041,A,,
U+00e4,66,81,LATIN SMALL LETTER A WITH DIAERESIS,a diaresis,ä,ä,U+0041,A,,
